Municipality Code,State,Municipality,Population,Observed Deaths,Deaths Counterfactual,Deaths Averted,Percent of Counterfactual Deaths Averted,"Observed Death Rate, per 100,000","Counterfactual Death Rate, per 100,000","Averted Death Rate, per 100,000"
130080,Amazonas,Borba,42328,11,15.97865144,4.97865144,31.15814534,25.98752599,37.74960178,11.76207579
130083,Amazonas,Caapiranga,13482,7,7.117006862,0.117006862,1.644045938,51.92107996,52.78895462,0.867874664
130090,Amazonas,Canutama,15981,3,3.308864945,0.308864945,9.334468158,18.7722921,20.70499308,1.932700987
130100,Amazonas,Carauari,28719,15,16.93364139,1.933641387,11.41893432,52.23023086,58.96319993,6.732969071
130110,Amazonas,Careiro,38820,39,41.15780349,2.157803488,5.242756671,100.4636785,106.0221625,5.558483997
130115,Amazonas,Careiro da Várzea,31459,0,0,0,NA,0,0,0
130120,Amazonas,Coari,86713,48,58.59201464,10.59201464,18.07757372,55.35502174,67.57004675,12.21502502
130130,Amazonas,Codajás,29691,6,7.272297677,1.272297677,17.49512649,20.20814388,24.49327297,4.285129088
130140,Amazonas,Eirunepé,36121,12,15.61471914,3.614719141,23.14943425,33.2216716,43.22892262,10.00725102
130150,Amazonas,Envira,20748,7,7.612810602,0.612810602,8.049728732,33.73819163,36.69178042,2.953588791
130160,Amazonas,Fonte Boa,16409,13,18.56923233,5.569232328,29.99172087,79.22481565,113.1649237,33.94010804
130165,Amazonas,Guajará,17193,3,22.29148221,19.29148221,86.54194471,17.44896179,129.6544071,112.2054453
130170,Amazonas,Humaitá,57195,49,59.44188036,10.44188036,17.56653776,85.67182446,103.9284559,18.25663145
130180,Amazonas,Ipixuna,31172,5,5.722267249,0.722267249,12.62204678,16.04003593,18.35707445,2.317038524
130185,Amazonas,Iranduba,49718,33,34.16482665,1.164826649,3.409432341,66.37435134,68.71721841,2.342867069
130190,Amazonas,Itacoatiara,104046,171,202.4380883,31.43808832,15.5297299,164.3503835,194.56595,30.2155665
